Name,Estimates,2020,2021,2022,2023,2024
"Aberdeen city, Washington","17,018","17,037","17,197","17,097","17,065","17,044"
"Airway Heights city, Washington","10,761","10,793","10,714","11,015","11,633","11,950"
"Albion town, Washington",551,546,534,534,543,547
"Algona city, Washington","3,289","3,286","3,242","3,226","3,234","3,269"
"Almira town, Washington",320,321,328,331,330,328
"Anacortes city, Washington","17,638","17,683","17,913","18,036","18,075","18,148"
"Arlington city, Washington","19,911","20,045","20,786","21,227","21,416","21,959"
"Asotin city, Washington","1,178","1,178","1,188","1,189","1,190","1,192"
"Auburn city, Washington","87,183","87,045","85,844","85,111","84,848","85,513"
"Bainbridge Island city, Washington","24,825","24,837","24,723","24,607","24,402","24,618"
"Battle Ground city, Washington","20,759","20,867","21,285","21,769","22,518","22,959"
"Beaux Arts Village town, Washington",317,316,311,307,308,313
"Bellevue city, Washington","151,868","151,786","149,406","151,398","152,354","154,377"
"Bellingham city, Washington","91,476","91,870","90,444","93,917","95,026","95,860"
"Benton City city, Washington","3,490","3,486","3,559","3,734","3,828","3,876"
"Bingen city, Washington",776,779,781,864,898,942
"Black Diamond city, Washington","4,695","4,846","5,574","6,135","6,489","6,787"
"Blaine city, Washington","5,885","5,901","5,966","6,038","6,188","6,371"
"Bonney Lake city, Washington","21,664","22,024","22,104","22,123","22,043","22,145"
"Bothell city, Washington","48,154","48,174","48,104","49,213","50,782","51,770"
"Bremerton city, Washington","43,506","43,626","44,982","45,442","44,827","45,291"
"Brewster city, Washington","1,985","1,987","2,010","2,025","2,048","2,090"
"Bridgeport city, Washington","2,130","2,128","2,150","2,161","2,227","2,261"
"Brier city, Washington","6,555","6,554","6,546","6,511","6,531","6,603"
"Buckley city, Washington","5,118","5,175","5,263","5,298","5,493","5,641"
"Bucoda town, Washington",598,598,599,612,615,615
"Burien city, Washington","52,072","51,996","51,140","51,045","51,346","52,046"
"Burlington city, Washington","9,168","9,243","9,695","9,765","10,381","10,945"
"Camas city, Washington","26,107","26,497","26,964","27,125","27,141","27,313"
"Carbonado town, Washington",738,741,746,738,737,737
"Carnation city, Washington","2,155","2,161","2,198","2,203","2,201","2,279"
"Cashmere city, Washington","3,249","3,247","3,330","3,310","3,280","3,333"
"Castle Rock city, Washington","2,449","2,451","2,447","2,438","2,442","2,445"
"Cathlamet town, Washington",561,563,574,585,603,608
"Centralia city, Washington","18,322","18,397","18,807","18,861","18,990","19,061"
"Chehalis city, Washington","7,428","7,479","7,576","7,545","7,565","7,717"
"Chelan city, Washington","4,226","4,234","4,321","4,367","4,398","4,462"
"Cheney city, Washington","13,268","13,380","12,333","12,754","12,887","12,700"
"Chewelah city, Washington","2,473","2,477","2,553","2,619","2,669","2,687"
"Clarkston city, Washington","7,206","7,232","7,223","7,187","7,160","7,138"
"Cle Elum city, Washington","2,159","2,177","2,235","2,242","2,242","2,276"
"Clyde Hill city, Washington","3,125","3,127","3,097","3,088","3,105","3,158"
"Colfax city, Washington","2,790","2,767","2,693","2,678","2,680","2,692"
"College Place city, Washington","9,942","9,969","9,880","9,851","9,730","9,846"
"Colton town, Washington",400,397,387,389,398,401
"Colville city, Washington","4,926","4,932","5,007","5,020","5,038","5,009"
"Conconully town, Washington",191,191,192,194,196,198
"Concrete town, Washington",796,799,805,803,798,795
"Connell city, Washington","5,438","5,443","5,104","4,772","4,891","5,071"
"Cosmopolis city, Washington","1,630","1,634","1,661","1,659","1,658","1,663"
"Coulee City town, Washington",550,550,553,548,551,554
"Coulee Dam town, Washington","1,214","1,213","1,221","1,220","1,228","1,242"
"Coupeville town, Washington","1,944","1,949","1,957","1,937","1,928","1,935"
"Covington city, Washington","20,772","20,862","21,120","21,300","21,340","21,567"
"Creston town, Washington",215,216,232,238,244,247
"Cusick town, Washington",150,151,154,162,174,184
"Darrington town, Washington","1,477","1,478","1,488","1,485","1,494","1,500"
"Davenport city, Washington","1,709","1,713","1,757","1,798","1,807","1,805"
"Dayton city, Washington","2,450","2,448","2,486","2,474","2,493","2,471"
"Deer Park city, Washington","4,384","4,408","4,664","4,795","4,910","5,191"
"Des Moines city, Washington","32,915","32,889","32,676","32,473","32,820","33,207"
"DuPont city, Washington","10,091","10,114","10,061","9,910","9,821","9,823"
"Duvall city, Washington","8,036","8,046","8,308","8,409","8,653","9,176"
"East Wenatchee city, Washington","14,153","14,125","14,223","14,098","14,219","14,330"
"Eatonville town, Washington","2,853","2,855","2,873","2,856","2,839","2,864"
"Edgewood city, Washington","12,337","12,422","12,778","13,147","13,315","13,496"
"Edmonds city, Washington","42,853","42,835","42,663","42,595","42,696","42,871"
"Electric City city, Washington",957,957,953,944,947,957
"Ellensburg city, Washington","21,557","21,627","19,714","20,992","21,110","20,996"
"Elma city, Washington","3,440","3,451","3,490","3,473","3,489","3,515"
"Elmer City town, Washington",243,243,247,247,251,255
"Endicott town, Washington",312,309,300,298,298,299
"Entiat city, Washington","1,329","1,331","1,354","1,495","1,533","1,561"
"Enumclaw city, Washington","12,542","12,620","12,659","12,707","12,845","13,173"
"Ephrata city, Washington","8,468","8,492","8,490","8,481","8,631","8,718"
"Everett city, Washington","110,600","110,892","111,218","111,842","112,233","113,011"
"Everson city, Washington","2,940","2,950","2,980","3,017","3,080","3,169"
"Fairfield town, Washington",591,593,602,605,600,598
"Farmington town, Washington",132,131,131,133,134,134
"Federal Way city, Washington","101,023","100,994","99,243","98,164","98,830","100,252"
"Ferndale city, Washington","15,084","15,146","15,547","16,108","16,496","16,706"
"Fife city, Washington","11,030","11,064","11,006","10,847","10,747","11,077"
"Fircrest city, Washington","7,149","7,163","7,145","7,049","6,984","6,988"
"Forks city, Washington","3,366","3,371","3,423","3,413","3,406","3,433"
"Friday Harbor town, Washington","2,612","2,631","2,748","2,750","2,741","2,744"
"Garfield town, Washington",562,557,541,537,540,543
"George city, Washington",807,807,817,815,895,"1,006"
"Gig Harbor city, Washington","12,045","12,087","12,244","12,511","12,602","12,643"
"Gold Bar city, Washington","2,402","2,410","2,424","2,440","2,451","2,478"
"Goldendale city, Washington","3,454","3,458","3,480","3,453","3,484","3,525"
"Grand Coulee city, Washington",973,973,967,955,958,960
"Grandview city, Washington","10,989","10,969","10,986","11,106","11,243","11,599"
"Granger city, Washington","3,629","3,638","3,665","3,691","3,713","3,789"
"Granite Falls city, Washington","4,511","4,603","4,614","4,652","4,682","4,702"
"Hamilton town, Washington",301,301,301,298,296,295
"Harrah town, Washington",580,578,577,573,575,576
"Harrington city, Washington",437,438,448,453,459,461
"Hartline town, Washington",179,179,180,177,177,177
"Hatton town, Washington",79,79,78,77,83,141
"Hoquiam city, Washington","8,774","8,784","8,863","8,813","8,795","8,771"
"Hunts Point town, Washington",456,455,449,449,454,460
"Ilwaco city, Washington","1,088","1,094","1,114","1,113","1,113","1,112"
"Index town, Washington",154,154,153,155,158,160
"Ione town, Washington",431,435,443,448,450,444
"Issaquah city, Washington","40,073","40,103","39,552","39,344","39,338","39,664"
"Kahlotus city, Washington",143,143,142,140,138,141
"Kalama city, Washington","2,959","2,973","3,005","3,022","3,074","3,131"
"Kelso city, Washington","12,716","12,732","12,722","12,665","12,649","12,737"
"Kenmore city, Washington","23,916","23,894","23,546","23,515","23,672","24,166"
"Kennewick city, Washington","83,940","84,000","84,683","85,190","85,915","86,728"
"Kent city, Washington","136,608","136,593","135,151","134,806","135,048","136,588"
"Kettle Falls city, Washington","1,633","1,634","1,658","1,657","1,661","1,649"
"Kirkland city, Washington","92,164","92,741","91,352","91,119","92,261","95,499"
"Kittitas city, Washington","1,446","1,453","1,470","1,462","1,458","1,445"
"Krupp town, Washington",46,46,46,45,45,45
"La Center city, Washington","3,429","3,475","3,740","3,930","4,016","4,256"
"Lacey city, Washington","56,326","56,764","57,136","57,994","58,234","58,644"
"La Conner town, Washington",969,971,972,978,988,994
"LaCrosse town, Washington",299,297,289,287,288,290
"Lake Forest Park city, Washington","13,628","13,604","13,365","13,216","13,171","13,276"
"Lake Stevens city, Washington","38,930","39,112","39,815","40,183","40,736","41,350"
"Lakewood city, Washington","63,608","63,619","63,415","62,661","62,266","62,709"
"Lamont town, Washington",78,77,75,76,78,78
"Langley city, Washington","1,148","1,149","1,156","1,143","1,141","1,139"
"Latah town, Washington",178,178,178,176,174,177
"Leavenworth city, Washington","2,262","2,357","2,388","2,422","2,778","2,908"
"Liberty Lake city, Washington","12,001","12,137","12,431","12,657","13,065","13,353"
"Lind town, Washington",538,536,529,528,526,524
"Long Beach city, Washington","1,692","1,701","1,733","1,746","1,757","1,761"
"Longview city, Washington","37,819","37,869","37,969","38,025","38,172","38,294"
"Lyman town, Washington",422,422,425,423,419,422
"Lynden city, Washington","15,748","15,806","15,938","16,145","16,470","16,783"
"Lynnwood city, Washington","38,571","38,549","38,910","40,434","41,069","41,597"
"Mabton city, Washington","1,955","1,953","1,955","1,941","1,950","1,960"
"McCleary city, Washington","2,000","2,017","2,055","2,058","2,056","2,059"
"Malden town, Washington",216,214,210,229,243,252
"Mansfield town, Washington",331,330,332,329,336,340
"Maple Valley city, Washington","28,010","28,086","28,246","28,317","28,282","28,553"
"Marcus town, Washington",215,215,218,218,218,219
"Marysville city, Washington","70,715","70,979","71,601","72,556","73,686","76,209"
"Mattawa city, Washington","3,344","3,348","3,492","3,691","3,769","3,784"
"Medical Lake city, Washington","4,881","4,882","4,889","4,983","4,989","5,003"
"Medina city, Washington","2,914","2,919","2,897","2,903","2,920","2,976"
"Mercer Island city, Washington","25,754","25,750","25,337","25,105","25,064","25,302"
"Mesa city, Washington",386,386,384,386,382,388
"Metaline town, Washington",160,161,165,166,166,164
"Metaline Falls town, Washington",273,275,282,284,285,281
"Mill Creek city, Washington","20,934","20,912","21,023","20,938","20,933","20,993"
"Millwood city, Washington","1,879","1,882","1,894","1,879","1,853","1,841"
"Milton city, Washington","8,699","8,702","8,845","8,798","8,746","8,833"
"Monroe city, Washington","19,818","20,024","19,802","19,401","19,584","19,927"
"Montesano city, Washington","4,151","4,158","4,199","4,200","4,197","4,194"
"Morton city, Washington","1,035","1,040","1,069","1,081","1,088","1,089"
"Moses Lake city, Washington","25,355","25,434","25,721","25,940","26,383","26,969"
"Mossyrock city, Washington",769,773,791,789,797,803
"Mountlake Terrace city, Washington","21,290","21,286","22,324","22,883","23,771","25,198"
"Mount Vernon city, Washington","35,234","35,312","35,467","35,428","35,294","35,344"
"Moxee city, Washington","4,323","4,393","4,472","4,669","4,775","4,791"
"Mukilteo city, Washington","21,526","21,508","21,419","21,234","21,220","21,299"
"Naches town, Washington","1,080","1,080","1,085","1,086","1,087","1,090"
"Napavine city, Washington","1,894","1,905","1,987","2,053","2,136","2,155"
"Nespelem town, Washington",180,189,188,191,195,200
"Newcastle city, Washington","13,009","13,145","12,972","12,887","12,877","13,072"
"Newport city, Washington","2,133","2,148","2,209","2,240","2,257","2,235"
"Nooksack city, Washington","1,490","1,499","1,543","1,542","1,558","1,675"
"Normandy Park city, Washington","6,770","6,757","6,645","6,614","6,608","6,661"
"North Bend city, Washington","7,461","7,502","7,649","7,829","8,197","8,553"
"North Bonneville city, Washington","1,398","1,398","1,404","1,414","1,424","1,418"
"Northport town, Washington",289,289,294,294,293,291
"Oakesdale town, Washington",397,394,384,383,384,384
"Oak Harbor city, Washington","24,622","24,628","24,670","24,283","24,077","24,163"
"Oakville city, Washington",720,721,732,734,736,735
"Ocean Shores city, Washington","6,713","6,774","7,089","7,355","7,581","7,731"
"Odessa town, Washington",897,899,921,933,928,924
"Okanogan city, Washington","2,372","2,371","2,409","2,425","2,454","2,489"
"Olympia city, Washington","55,367","55,609","56,034","55,948","55,907","56,271"
"Omak city, Washington","4,860","4,862","4,994","5,040","5,093","5,167"
"Oroville city, Washington","1,813","1,812","1,827","1,837","1,855","1,911"
"Orting city, Washington","9,041","9,052","9,058","8,962","8,904","8,911"
"Othello city, Washington","8,548","8,558","8,685","8,856","8,899","9,001"
"Pacific city, Washington","7,240","7,238","7,115","7,040","7,019","7,085"
"Palouse city, Washington","1,020","1,014","1,006","1,010","1,017","1,029"
"Pasco city, Washington","77,345","77,686","78,762","79,351","80,343","81,724"
"Pateros city, Washington",593,593,599,605,615,626
"Pe Ell town, Washington",644,648,659,660,669,671
"Pomeroy city, Washington","1,398","1,403","1,434","1,435","1,435","1,471"
"Port Angeles city, Washington","19,958","20,002","20,293","20,143","20,067","20,112"
"Port Orchard city, Washington","15,596","15,629","15,900","16,954","18,130","19,122"
"Port Townsend city, Washington","10,145","10,171","10,372","10,445","10,573","10,649"
"Poulsbo city, Washington","11,967","11,975","11,967","12,089","12,188","12,562"
"Prescott city, Washington",371,371,372,367,362,364
"Prosser city, Washington","6,137","6,146","6,209","6,250","6,380","6,540"
"Pullman city, Washington","32,905","32,857","28,621","33,010","33,163","33,543"
"Puyallup city, Washington","42,977","43,037","43,015","42,712","42,484","42,552"
"Quincy city, Washington","7,545","7,634","7,838","8,014","8,187","8,294"
"Rainier city, Washington","2,366","2,385","2,475","2,466","2,475","2,506"
"Raymond city, Washington","3,083","3,096","3,205","3,224","3,220","3,228"
"Reardan town, Washington",646,650,665,680,684,688
"Redmond city, Washington","73,269","73,374","74,989","76,503","79,690","82,195"
"Renton city, Washington","106,849","106,734","105,302","104,405","104,551","105,543"
"Republic city, Washington",981,982,996,"1,009","1,012","1,020"
"Richland city, Washington","60,575","60,892","61,961","62,829","63,685","64,372"
"Ridgefield city, Washington","10,363","10,872","12,235","13,851","14,743","15,359"
"Ritzville city, Washington","1,749","1,744","1,722","1,717","1,709","1,709"
"Riverside town, Washington",324,324,328,328,333,340
"Rockford town, Washington",523,526,545,582,614,627
"Rock Island city, Washington","1,275","1,289","1,358","1,470","1,624","1,722"
"Rosalia town, Washington",595,592,574,575,577,578
"Roslyn city, Washington",955,961,976,971,969,960
"Roy city, Washington",822,822,818,806,801,803
"Royal City city, Washington","1,778","1,784","1,847","1,874","1,897","1,907"
"Ruston city, Washington","1,055","1,055","1,053","1,040","1,034","1,048"
"St. John town, Washington",600,597,579,579,581,590
"Sammamish city, Washington","67,458","67,449","66,573","65,964","65,857","66,474"
"SeaTac city, Washington","31,439","31,387","31,597","32,012","33,152","34,024"
"Seattle city, Washington","737,020","740,600","733,700","751,454","764,182","780,995"
"Sedro-Woolley city, Washington","12,430","12,462","12,589","12,880","12,992","13,215"
"Selah city, Washington","8,178","8,189","8,230","8,479","8,627","8,653"
"Sequim city, Washington","8,031","8,070","8,200","8,200","8,186","8,199"
"Shelton city, Washington","10,371","10,436","10,650","10,688","10,655","10,737"
"Shoreline city, Washington","58,609","58,820","59,250","60,349","62,527","66,251"
"Skykomish town, Washington",162,162,159,158,157,158
"Snohomish city, Washington","10,123","10,173","10,144","10,134","10,244","10,534"
"Snoqualmie city, Washington","14,106","14,084","13,829","13,693","13,651","13,748"
"Soap Lake city, Washington","1,698","1,701","1,720","1,729","1,744","1,780"
"South Bend city, Washington","1,744","1,753","1,783","1,780","1,795","1,801"
"South Cle Elum town, Washington",560,561,572,571,569,572
"South Prairie town, Washington",373,373,371,368,365,367
"Spangle city, Washington",280,282,285,282,281,278
"Spokane city, Washington","228,973","229,205","230,542","230,777","230,193","230,609"
"Spokane Valley city, Washington","103,094","103,647","105,443","106,768","107,665","108,267"
"Sprague city, Washington",501,505,518,528,527,525
"Springdale town, Washington",236,239,244,320,356,360
"Stanwood city, Washington","7,725","7,798","8,056","8,407","8,719","8,943"
"Starbuck town, Washington",119,119,120,133,138,138
"Steilacoom town, Washington","6,731","6,739","6,736","6,680","6,636","6,649"
"Stevenson city, Washington","1,485","1,491","1,525","1,567","1,590","1,598"
"Sultan city, Washington","5,165","5,168","5,657","6,231","6,547","7,002"
"Sumas city, Washington","1,584","1,607","1,625","1,642","1,665","1,683"
"Sumner city, Washington","10,627","10,661","10,714","10,632","10,787","10,885"
"Sunnyside city, Washington","16,384","16,396","16,302","16,179","16,204","16,317"
"Tacoma city, Washington","219,210","219,756","219,938","220,993","224,886","228,202"
"Tekoa city, Washington",819,813,790,791,799,809
"Tenino city, Washington","1,873","1,875","1,936","1,927","1,944","1,956"
"Tieton city, Washington","1,387","1,386","1,500","1,535","1,559","1,610"
"Toledo city, Washington",632,636,648,732,764,767
"Tonasket city, Washington","1,102","1,101","1,108","1,110","1,119","1,133"
"Toppenish city, Washington","8,849","8,825","8,769","8,667","8,664","8,658"
"Tukwila city, Washington","21,780","21,748","21,408","21,198","21,310","21,636"
"Tumwater city, Washington","26,044","26,143","26,828","26,765","27,175","27,826"
"Twisp town, Washington",995,998,"1,028","1,050","1,069","1,112"
"Union Gap city, Washington","6,568","6,553","6,603","6,593","6,585","6,582"
"Uniontown town, Washington",392,391,379,383,389,396
"University Place city, Washington","34,872","34,904","34,941","34,642","34,946","35,160"
"Vader city, Washington",618,620,652,669,673,690
"Vancouver city, Washington","190,887","191,284","193,475","194,995","197,733","198,992"
"Waitsburg city, Washington","1,162","1,165","1,170","1,161","1,168","1,173"
"Walla Walla city, Washington","34,275","34,275","33,855","33,829","33,749","33,901"
"Wapato city, Washington","4,607","4,594","4,558","4,524","4,499","4,492"
"Warden city, Washington","2,448","2,457","2,479","2,560","2,671","2,806"
"Washougal city, Washington","17,046","17,051","17,143","17,535","17,730","17,944"
"Washtucna town, Washington",206,205,203,202,200,199
"Waterville town, Washington","1,133","1,130","1,142","1,131","1,141","1,148"
"Waverly town, Washington",122,122,122,123,122,123
"Wenatchee city, Washington","35,626","35,605","35,619","35,501","35,328","35,401"
"Westport city, Washington","2,216","2,222","2,254","2,271","2,307","2,341"
"West Richland city, Washington","16,300","16,387","17,115","17,558","18,048","18,820"
"White Salmon city, Washington","2,490","2,503","2,539","2,538","2,570","2,605"
"Wilbur town, Washington",894,896,918,930,927,926
"Wilkeson town, Washington",497,500,494,487,485,488
"Wilson Creek town, Washington",207,207,205,204,204,204
"Winlock city, Washington","1,818","1,834","1,944","2,123","2,305","2,515"
"Winthrop town, Washington",501,506,527,552,580,603
"Woodinville city, Washington","13,064","13,475","13,228","13,110","13,396","13,942"
"Woodland city, Washington","6,529","6,547","6,545","6,512","6,483","6,496"
"Woodway city, Washington","1,315","1,316","1,318","1,317","1,319","1,323"
"Yacolt town, Washington","1,671","1,674","1,673","1,653","1,641","1,644"
"Yakima city, Washington","96,992","97,084","96,793","96,622","96,904","97,390"
"Yarrow Point town, Washington","1,134","1,132","1,117","1,120","1,120","1,134"
"Yelm city, Washington","10,658","10,700","10,755","10,981","11,235","11,715"
"Zillah city, Washington","3,173","3,170","3,147","3,133","3,124","3,123"
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0078).    ",,,,,,
"Note: The estimates are based on the 2020 Census and reflect changes to the April 1, 2020 population due to the Count Question Resolution and Post-Census Group Quarters Review programs, geographic program revisions, and the application of disclosure avoidance to protect confidentiality. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2024 population estimates series are as of January 1, 2024. For updates on Legal Boundary Change/Annexation Data, see https://www.census.gov/geographies/reference-files/time-series/geo/bas/annex.html. Additional information on these localities can be found in the Geographic Boundary Change Notes (see https://www.census.gov/programs-surveys/geography/technical-documentation/boundary-change-notes.html). ",,,,,,
Suggested Citation:,,,,,,
"Annual Estimates of the Resident Population for Incorporated Places in Washington: April 1, 2020 to July 1, 2024 (SUB-IP-EST2024-POP-53)",,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,
Release Date: May 2025,,,,,,
